Taxa;Clade;Locomotion;Body mass (Kg);Body mass estimation;Reference;Early Interval;Late Interval;Max ma;Min ma
Xixiposaurus_suni_;Sauropodomorpha;NA;230.9;From Benson;"Seika 2010; ZLJ0108";Hettangian;Sinemurian;201.4;192.9
Yimenosaurus_youngi;Sauropodomorpha;NA;1904.1;From Benson;"YXV8702, paratype (PDM); Bai et al. 1990; paratype represents a larger individual than the type and so is used here (YXV8702, paratype), postcranial skeleton only briefly described, lacking figures and measurements";Hettangian;Sinemurian;201.4;192.9
Yunnanosaurus_huangi;Sauropodomorpha;NA;453.8;From Benson;"Young 1942; IVPP V20 (holotype skeleton); a larger femur ('V32t') has FL=460, midshaft width=68";Hettangian;Sinemurian;201.4;192.9
Coelophysis_bauri_average;Theropoda;NA;9.4;From Benson;"AMNH 2704 (MTC); 'C. longicollis' | Colbert (1989); AMNH 7223";Norian;Rhaetian;227;201.4
Coelophysis_kayentakatae;Theropoda;NA;30.2;From Benson;"MNA V2623; MCZ 9175 (cast of type, MNA V2623); Rowe 1989";Sinemurian;Pliensbachian;199.5;184.2
Coelophysis_rhodesiensis;Theropoda;NA;13.1;From Benson;"QG1 [holotype] (MTC); Raath 1969";Hettangian;Sinemurian;201.4;192.9
Cryolophosaurus_ellioti;Theropoda;NA;348.8;From Benson;Smith et al., 2007;Sinemurian;Pliensbachian;199.5;184.2
Dilophosaurus_sinensis;Theropoda;NA;561.6;From Benson;LDM-LCA 10;Hettangian;Sinemurian;201.4;192.9
Dilophosaurus_wetherilli_average;Theropoda;NA;319.4;From Benson;"UCMP 77270 (RBJB) | UCMP 37302 (MTC); Welles 1983";Sinemurian;Pliensbachian;199.5;184.2
Eoraptor_lunensis;Theropoda;NA;17.3;From Benson;"PVSJ 512 (MTC); Martinez et al. 2011";Carnian;Carnian;237;227
Eodromaeus_murphi;Theropoda;NA;7.1;From Benson;"Martinez et al. 2011; PVSJ 562; ""highly crushed"" (S. brusatte, pers. comm. 5 December 2011)- so estimated from Eoraptor";Carnian;Carnian;237;227
Gojirasaurus_quayi;Theropoda;NA;193;From Benson;Carpenter 1997;Norian;Norian;227;208.5
Guaibasaurus_candelariensis;Theropoda;NA;33.5;From Benson;"Bonaparte et al. 1999; Langer et al. 2011; MCN-PV 2355; UFRGS PV0725T (larger specimen-used measurements)";Norian;Norian;227;208.5
Herrerasaurus_ischigualastensis_average;Theropoda;NA;179;From Benson;"PVL 2566 (MTC); Novas 1993 | PVSJ 373";Carnian;Carnian;237;227
Liliensternus_liliensterni;Theropoda;NA;83.5;From Benson;"Huene 1934; HMN R1291(larger individual)";Rhaetian;Rhaetian;208.5;201.4
Procompsognathus_triassicus;Theropoda;NA;1.1;From Benson;"SMNS 12591 (MTC; circumference measured by P. Vincent 22 Nov 2011); Sereno & Wild 1992";Norian;Norian;227;208.5
Sarcosaurus_woodi;Theropoda;NA;101.3;From Benson;BMNH 4840 (MTC);Sinemurian;Sinemurian;199.5;199.5
Segisaurus_halli;Theropoda;NA;5;From Benson;"Camp 1936 (UCMP 32101); Carrano et al. 2005";Pliensbachian;Toarcian;192.9;174.7
Staurikosaurus_pricei;Theropoda;NA;23.2;From Benson;"MCZ 1669 (MTC); Colbert 1970";Early_Carnian;Middle_Carnian;237;232
Tawa_hallae;Theropoda;NA;3.2;From Benson;"measured from Nesbitt et al. (2009, fig. 2); femur GR 244";Norian;Norian;227;208.5
Abrictosaurus_consors;Ornithischia;NA;1.4;From Benson;"BMNH RU B.54 (MTC); Thulborn 1974";Hettangian;Sinemurian;201.4;192.9
Heterodontosaurus_tucki;Ornithischia;NA;5.2;From Benson;SAM-PK-K1332 (NEC);Hettangian;Sinemurian;201.4;192.9
Lesothosaurus_diagnosticus;Ornithischia;NA;6.3;From Benson;BMNH RUB17 (RBJB);Hettangian;Sinemurian;201.4;192.9
Pisanosaurus_mertii;Ornithischia;NA;35.5;From Benson;PVL 2577 (MTC);Carnian;Carnian;237;227
Scelidosaurus_harrisonii;Ornithischia;NA;645.3;From Benson;BMNH R1111 (MTC);Sinemurian;Sinemurian;199.5;192.9
Scutellosaurus_lawleri;Ornithischia;NA;26.6;From Benson;MCZ 8797 (MTC);Sinemurian;Pliensbachian;199.5;184.2
Stormbergia_dangershoeki;Ornithischia;NA;46.3;From Benson;Butler 2005;Hettangian;Sinemurian;201.4;192.9
